iata,city,secondary
BGM,Endicott,NY - United States
WDG,Enid,OK - United States
ERI,Erie,PA - United States
ESC,Escanaba,MI - United States
EUG,Eugene,OR - United States
ACV,Eureka/Arcata,CA - United States
EUE,Eureka,NV - United States
EVV,Evansville,IN - United States
FAI,Fairbanks,AK - United States
FAR,Fargo,ND - United States
FYV,Fayetteville,AR - United States
XNA,Fayetteville,AR - United States
FAY,Fayetteville,NC - United States
FLG,Flagstaff,AZ - United States
FNT,Flint,MI - United States
FLO,Florence,SC - United States
MSL,Florence/Muscle Shoals/Sheffield,AL - United States
FNL,Fort Collins/Loveland,CO - United States
QWF,Fort Collins/Loveland,CO - United States
FOD,Fort Dodge,IA - United States
FLL,Fort Lauderdale,FL - United States
TBN,Fort Leonard Wood,MO - United States
RSW,Fort Myers,FL - United States
FSM,Fort Smith,AR - United States
VPS,Fort Walton Beach,FL - United States
FWA,Fort Wayne,IN - United States
DFW,Fort Worth/Dallas,TX - United States
FKL,Franklin,PA - United States
FAT,Fresno,CA - United States
GNV,Gainesville,FL - United States
GUP,Gallup,NM - United States
GCK,Garden City,KS - United States
GYY,Gary,IN - United States
GCC,Gillette,WY - United States
GGG,Gladewater/Kilgore,TX - United States
GGW,Glasgow,MT - United States
GDV,Glendive,MT - United States
GLV,Golovin,AK - United States
GNU,Goodnews Bay,AK - United States
JGC,Grand Canyon,AZ - United States
GCN,Grand Canyon,AZ - United States
GFK,Grand Forks,ND - United States
GRI,Grand Island,NE - United States
GJT,Grand Junction,CO - United States
GRR,Grand Rapids,MI - United States
GPZ,Grand Rapids,MN - United States
KGX,Grayling,AK - United States
GTF,Great Falls,MT - United States
GRB,Green Bay,WI - United States
GSO,Greensboro,NC - United States
GLH,Greenville,MS - United States
PGV,Greenville,NC - United States
GSP,Greenville/Spartanburg,SC - United States
GON,Groton/New London,CT - United States
GPT,Gulfport,MS - United States
GUC,Gunnison,CO - United States
GST,Gustavus,AK - United States
HGR,Hagerstown,MD - United States
SUN,Hailey,ID - United States
HNS,Haines,AK - United States
PHF,Hampton,VA - United States
HNM,Hana,HI - United States
PAK,Hanapepe,HI - United States
CMX,Hancock,MI - United States
LEB,Hanover,NH - United States
HRL,Harlingen,TX - United States
MDT,Harrisburg,PA - United States
HRO,Harrison,AR - United States
BDL,Hartford,CT - United States
